date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:50	282/282	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Jun%202015%2007:10:50%20GMT	http://october02.themes.tvda.eu/robots.txt		(from )
19:10:54	66133/66133	---MC-	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202015%2007:10:52%20GMT	http://october02.themes.tvda.eu/demo02/	C:/Users/Apprentice/Documents/test/october02.themes.tvda.eu/demo02/index.html	(from )
19:10:55	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2026%20Jun%202015%2007:10:55%20GMT	http://october02.themes.tvda.eu/demo02/xmlrpc.php	C:/Users/Apprentice/Documents/test/october02.themes.tvda.eu/demo02/xmlrpc.php	(from http://october02.themes.tvda.eu/demo02/)
19:10:56	1/1	---M--	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202015%2007:10:56%20GMT	http://october02.themes.tvda.eu/demo02/wp-admin/admin-ajax.php	C:/Users/Apprentice/Documents/test/october02.themes.tvda.eu/demo02/wp-admin/admin-ajax.html	(from http://october02.themes.tvda.eu/demo02/)
19:10:57	3292/3292	---M--	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202015%2007:10:57%20GMT	http://october02.themes.tvda.eu/demo02/wp-login.php?redirect_to=%2Fdemo02%2F	C:/Users/Apprentice/Documents/test/october02.themes.tvda.eu/demo02/wp-login8c47.html	(from http://october02.themes.tvda.eu/demo02/)
19:10:58	338/338	---M--	200	added ('OK')	text/css	etag:%2211e206d-152-517ff9fbb26a3%22	http://october02.themes.tvda.eu/demo02/wp-content/plugins/mega_main_menu/src/css/cache.skin.css?ver=4.2.2	C:/Users/Apprentice/Documents/test/october02.themes.tvda.eu/demo02/wp-content/plugins/mega_main_menu/src/css/cache.skin3a05.css	(from http://october02.themes.tvda.eu/demo02/)
19:10:58	1488/1488	---M--	200	added ('OK')	text/xml	etag:%22455a306f11b37ce8c3d7006f9707f5e8%22	http://october02.themes.tvda.eu/demo02/comments/feed/	C:/Users/Apprentice/Documents/test/october02.themes.tvda.eu/demo02/comments/feed/index.html	(from http://october02.themes.tvda.eu/demo02/)
19:10:58	9151/9151	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Jun%202015%2015:47:32%20GMT	http://october02.themes.tvda.eu/demo02/wp-content/plugins/instagram-feed/css/sb-instagram.css?ver=1.3.7	C:/Users/Apprentice/Documents/test/october02.themes.tvda.eu/demo02/wp-content/plugins/instagram-feed/css/sb-instagram52d0.css	(from http://october02.themes.tvda.eu/demo02/)
19:10:59	746/746	---M--	200	added ('OK')	text/xml	etag:%22455a306f11b37ce8c3d7006f9707f5e8%22	http://october02.themes.tvda.eu/demo02/home/feed/	C:/Users/Apprentice/Documents/test/october02.themes.tvda.eu/demo02/home/feed/index.html	(from http://october02.themes.tvda.eu/demo02/)
19:10:59	21206/21206	---MC-	200	added ('OK')	text/xml	etag:%228e84dde31b72c1bb480d4fc289806b99%22	http://october02.themes.tvda.eu/demo02/feed/	C:/Users/Apprentice/Documents/test/october02.themes.tvda.eu/demo02/feed/index.html	(from http://october02.themes.tvda.eu/demo02/)
